Sentence #;Word;POS;Tag
;OUAHNICH;NN;I-NAME
55;Master;NN;O
;Stratégie;NN;O
;Management;NN;O
56;Age;NN;O
;23ans;NNS;O
57;Tel;NN;O
;661740064;CD;B-PHONE
58;Opérations;NNS;O
;Hôtelières;NNS;O
59;E-mail;NN;O
;safa.ouahnich;NN;B-MAIL
;gmail.com;NN;I-MAIL
60;Master;NN;O
;Stratégie;NN;O
;Management;NN;O
;Opérations;NNS;O
;Hôtelières;NNS;O
61;Tanger;NN;O
;Maroc;NN;O
62;Institut;NNP;O
;Supérieur;NN;O
;International;NNP;O
;Tourisme;NN;O
;Tanger;NN;O
63;Diplôme;NN;B-FORMATION
;cycle;NN;O
;Management;NN;O
;Opérationnel;NN;O
;Hotellerie;NN;O
64;Tanger;NN;O
;Maroc;NN;O
65;Institut;NNP;O
;Supérieur;NN;O
;International;NNP;O
;Tourisme;NN;O
;Tanger;NN;O
66;Baccalauréat;NN;O
;sciences;NNS;O
;économiques;NNS;O
67;Hajeb-Maroc;NN;O
68;Lycée;NN;O
;Rihab;NN;B-NAME
;Amana;NNP;I-NAME
69;Langues;NNS;B-LANGUES
70;Maternelle;NNP;O
71;Francais;NN;O
;parle;NN;O
;écrit;NN;O
72;Anglais;NN;O
;parle;NN;O
;écrit;NN;O
73;Espagnol;NN;O
;Notions;NNS;O
;bases;NNS;O
74;Logiciels;NNS;O
;maitrisés;NN;O
;Word;NN;O
;Excel;NN;O
;PowerPoint;NN;O
;frontrest;NN;O
;logiciel;NN;O
;traitement;NN;O
;données;NN;O
75;SPSS;NN;O
;OpenErp;NN;O
76;EXPERIENCES;NNS;B-EXPERIENCE
;PROFESSIONNELLES;NNS;I-EXPERIENCE
77;Oct.;NNP;B-DATE
;2015-a;JJ;I-DATE
;jour;NN;I-DATE
;AMAZON;NN;O
78;Rabat;NN;O
;Maroc;NN;O
79;Customer;NN;O
;Service;NNP;O
;Associate;NN;O
;chargée;NN;O
;relation;NN;O
;client;NN;O
80;Missions;NNS;O
;taches;NNS;O
;réalisées;NN;O
;commandes;NNS;O
;réclamations;NNS;O
83;#NOM?;NN;O
;clients;NNS;O
84;Oct.2014—;NN;B-DATE
;Fév;NN;I-DATE
;2015;CD;I-DATE
;Marocaine;NN;O
;Travaux;NN;O
;Développement;NN;O
;Ingénierie;NN;O
85;Aménagement;NN;O
;terrains;NNS;O
;agricols;NNS;O
86;Meknes;NNS;O
;Maroc;NN;O
87;Stagiaire;NN;O
;département;NN;O
;Marketing;NN;O
;communication;NN;O
88;Missions;NNS;O
;taches;NNS;O
;réalisées;NN;O
89;Contribution;NN;O
;élaboration;NN;O
;stratégie;NN;O
;marketing;NN;O
90;Assurer;NN;O
;veille;NN;O
;concurrentielle;NN;O
;résultats;NNS;O
;ventes;NNS;O
92;Août-;JJ;O
;Sep.;NN;B-DATE
;2014;CD;I-DATE
93;Haut;NN;O
;Commissariat;NN;O
;Plan;NN;O
94;Hajeb;NN;O
;Maroc;NN;O
95;Enquétrice;NN;O
;terrain;NN;O
96;Missions;NNS;O
;taches;NNS;O
;réalisées;NN;O
97;Identification;NN;O
;etude;NN;O
;terrain;NN;O
98;#NOM?;NN;O
;contact;NN;O
;familles;NNS;O
99;Effectuer;NN;O
;recensement;NN;O
;logements;NNS;O
;population;NN;O
100;Adresse;NN;O
;rue;NN;O
;abdelkrim;NN;O
;diouri;NN;O
101;Abderahman;NN;B-NAME
;LAMRANI;NN;I-NAME
102;Avenue;NN;O
;Madagscar;NN;O
;Apt;NN;O
;Rabat;NN;O
103;Tel;NN;O
;06.53.03.07.67;CD;B-PHONE
104;Mail;NN;O
;abderahman.seg;NN;B-MAIL
;gmail.com;NN;I-MAIL
105;Fraichement;NN;O
;diplômé;NN;O
;opportunité;NN;O
;effleurer;NN;O
106;Web;NN;O
107;plusieurs;NNS;O
;facettes;NNS;O
;Commerce;NNP;O
;international;JJ;O
;durant;NN;O
108;https;NN;O
109;parcours;NNS;B-FORMATION
;scolaire;NN;I-FORMATION
;professionnel;NN;I-FORMATION
;offert;NN;O
110;perspective;NN;O
;évolution;NN;O
;riche;NN;O
;variée;NN;O
;Aujourd;NN;B-DATE
;hui;NN;I-DATE
111;jai;NN;O
;l'honneur;NN;O
;soumettre;NN;O
;candidature;NN;O
112;PERMIS;NN;O
113;éventuel;NN;O
;poste;NN;O
;chez;NN;O
;entreprise;NN;O
114;EXPERIENCE;NN;B-EXPERIENCE
;PROFESSIONNELLE;NN;I-EXPERIENCE
115;PALM;NN;O
;TRANSIT;NN;O
116;*STAGE;NN;O
;FONCTIONNEL-TANGER;NN;O
117;*Traitement;NN;O
;dossiers;NNS;O
;exports/Imports;NNS;O
;clients;NNS;O
118;*Déclaration;NN;O
;douane;NN;O
;saisie;NN;O
;fiches;NNS;O
;décharges;NNS;O
;marchandises;NNS;O
;systéme;NN;O
119;BADR;NN;O
120;Envoi;NN;O
;documents;NNS;O
;nécessaires;NNS;O
;import;NN;O
;export;NN;O
;marchandises;NNS;O
;clients;NNS;O
;avis;NN;O
121;arrivée;NN;O
;marchandises;NNS;O
;certificat;NN;O
;circulation;NN;O
;marchandises;NNS;O
;autre;NN;O
122;territoire;NN;O
;manifeste;NN;O
;transport;NN;O
123;OCP;NN;O
124;*STAGE;NN;O
;FIN;NN;O
;ETUDES-CASABLANCA;NN;O
125;Mois-2018;NN;B-DATE
126;*Examination;NN;O
;opérations;NNS;O
;gestion;NN;O
;contrats;NNS;O
;vente;NN;O
;conclus;NN;O
;clients;NNS;O
;vietnamien;NN;O
127;*Enregistrer;NN;O
;toutes;NNS;O
;commandes;NNS;O
;passées;NN;O
;produits;NNS;O
;commercialisés;NN;O
;systeme;NN;O
;Oracle;NN;O
128;assurer;NN;O
;disponibilités;NN;O
;produits;NNS;O
;commandés;NN;O
;clients;NNS;O
129;préparation;NN;O
;plannings;NNS;O
;livraison;NN;O
130;envoi;NN;O
;documentation;NN;O
;commerciale;NN;O
;provisoire;NN;O
;drafts;NNS;O
;Pro;NNS;O
;Forma;NN;O
;COA;NN;O
131;*Envoi;NN;O
;facture;NN;O
;commerciale;NN;O
;définitive;NN;O
;client;NN;O
;apres;NNS;O
;validation;NN;O
;DRAFTS;NN;O
132;*STAGE;NN;O
;APPLICATION-RABAT;JJ;O
133;MAROC;NN;O
134;eRapprochement;NN;O
;bancaire;NN;O
;recettes;NNS;O
;péages;NNS;O
135;Division;NN;O
;Inspection;NN;O
136;Mois-2016;NN;B-DATE
137;péage;NN;O
138;*Verification;NN;O
;écarts;NNS;O
;rapprochement;NN;O
;centre;NN;O
;exploitation;NN;O
;Oujda;NN;O
139;OFFICE;NN;O
;DES;NNP;O
140;STAGE;NN;O
;OBSERVATION-RABAT;NN;O
141;Observation;NN;O
;mesures;NNS;O
;relatives;NNS;O
;reglementation;NN;O
;changes;NNS;O
142;Mois-2015;NN;B-DATE
143;matiere;RB;O
;importation;NN;O
;exportation;NN;O
144;*Etudes;NNS;O
;rapports;NNS;O
;liés;NN;O
;statistiques;NNS;O
;échanges;NNS;O
;éxtérieurs;NNS;O
145;Formation;NN;B-FORMATION
;l'Ecole;NN;O
;Nationale;NN;O
146;ENCG;NN;O
;Tanger;NN;O
147;Commerce;NNP;O
;Gestion;NN;O
148;Techniques;NNS;O
;vente;NN;O
149;Tanger;NN;O
;Option;NN;O
150;2013;CD;B-DATE
;2018;CD;I-DATE
151;Commerce;NNP;O
;International;NNP;O
152;Pack;NN;O
;Office;NN;O
153;Lycée;NN;O
;Les;NN;O
154;Baccalauréat;NN;O
;branche;NN;O
;Science;NN;O
155;Economiques;NNS;O
;Gestion;NN;O
;mention;NN;O
156;Bien;NN;O
;Lycée;NN;O
;Les;NN;O
;Orangers;NNS;O
;Rabat;NN;O
157;Stratégie;NN;O
;commerciale;NN;O
158;2011;CD;B-DATE
;2013;CD;I-DATE
159;Logistique;NN;O
;Achat;DT;O
160;Natation;NN;O
;Réseaux;NN;O
;sociaux;NN;O
;Arts;NNS;O
;martiaux;NN;O
;...;:;O
161;Nom;NN;O
;Prénom;NN;O
;Dounia;NN;B-NAME
;ROUDANE;NN;I-NAME
162;ans;NNS;O
163;Lotissement;NN;O
;Ard;NN;O
;Assalam;NN;O
;TAH;NN;O
164;Villa;NN;O
;Casablanca;NN;O
165;2;CD;B-PHONE
;12-6-64-46-26-80;JJ;I-PHONE
166;dounia.roudane;NN;B-MAIL
;gmail.com;NN;I-MAIL
167;CONTROLEUR;NN;O
;GESTION;NN;O
;SENIOR;NN;O
168;EXPERIENCES;NNS;B-EXPERIENCE
;PROFESSIONNELLES;NNS;I-EXPERIENCE
169;Depuis;NN;B-DATE
;Mai;NN;I-DATE
;2015;CD;I-DATE
;Contrôleur;NN;O
;Gestion;NN;O
;SENIOR;NN;O
;chez;NN;O
;MARGAFRIQUE;NN;O
170;Filiale;NN;O
;Groupe;NN;O
;EULJ;NN;O
;Casablanca;NN;O
;Maroc;NN;O
171;Secteur;NN;O
;Industrie;NN;O
;Distribution;NN;O
;alimentaire;NN;O
172;Elaboration;NN;O
;processus;NN;O
;budgétaire;NN;O
;construction;NN;O
;budget;NN;O
;annuel;NN;O
;révision;NN;O
;prévisions;NNS;O
173;Suivi;NN;O
;exécution;NN;O
;budgets;NNS;O
;analyse;NN;O
;écarts;NNS;O
;indicateurs;NNS;O
;activités;NN;O
174;Gestion;NN;O
;inventaires;NNS;O
;organisation;NN;O
;supervision;NN;O
;analyse;NN;O
;écarts;NNS;O
;stocks;NNS;O
;...;:;O
175;Supervision;NN;O
;clôture;NN;O
;comptable;JJ;O
;mensuelle;NN;O
;Contrôle;NN;O
;cohérence;NN;O
;exhaustivité;NN;O
;données;NN;O
176;comptables;NNS;O
;avant;NN;O
;reporting;NN;O
177;Mise;NN;O
;place;NN;O
;reporting;NN;O
;réguliers;NNS;O
;collaboration;NN;O
;responsable;JJ;O
;gestion;NN;O
;comptable;JJ;O
;portant;NN;O
178;situation;NN;O
;financière;NN;O
;évolution;NN;O
;coûts;NN;O
;rentabilité;NN;O
;projets;NNS;O
179;Conception;NN;O
;tableaux;NN;O
;bord;NN;O
;activité;NN;O
;distribution;NN;O
;Analyse;NN;O
;commerciale;NN;O
;logistique;NN;O
180;Amélioration;NN;O
;procédures;NNS;O
;gestion;NN;O
;optimisation;NN;O
;flux;NN;O
;information;NN;O
;financière;NN;O
181;Analyse;NN;O
;performances;NNS;O
;entreprise;NN;O
182;Supervision;NN;O
;comptabilité;NN;O
;analytique;NN;O
184;Réalisation;NN;O
;analyses;NNS;O
;ponctuelles;NNS;O
;participation;NN;O
;établissement;NN;O
;business;NN;O
;plan;NN;O
;projets;NNS;O
185;développement;NN;O
;...;:;O
186;Participation;NN;O
;amélioration;NN;O
;ERP;NN;O
;société;NN;O
;évolution;NN;O
;paramétrages;NNS;O
;mise;NN;O
;place;NN;O
187;procédures;NNS;O
;gestion;NN;O
;...;:;O
188;Août;NN;B-DATE
;2011;CD;I-DATE
;Avril;NN;I-DATE
;2015;CD;I-DATE
;Contrôleur;NN;O
;Gestion;NN;O
;Confirmé;NN;O
;chez;NN;O
;minoterie;NN;O
;industrielle;NN;O
;AMGALA;NN;O
189;Filiale;NN;O
;Groupe;NN;O
;RAJI;NN;O
;T-Man;NN;O
;Holding;VBG;O
;Casablanca;NN;O
;Maroc;NN;O
190;Secteur;NN;O
;Industrie;NN;O
;Agro-alimentaire;NN;O
191;Gestion;NN;O
;budgets;NNS;O
;Construction;NN;O
;animation;NN;O
;processus;NN;O
;consolidation;NN;O
;canevas;NN;O
;calendrier;NN;O
;élaboration;NN;O
192;forecast;NN;O
;trimestriel;NN;O
;analyse;NN;O
;écarts;NNS;O
;rapport;NN;O
;budget;NN;O
;...;:;O
193;Organisation;NN;O
;inventaires;NNS;O
;justification;NN;O
;écarts;NNS;O
194;Analyse;NN;O
;rentabilité;NN;O
;compte;NN;O
;exploitation;NN;O
;gestion;NN;O
195;Analyse;NN;O
;Chiffre;NN;O
;affaires;NNS;O
196;Calcul;NN;O
;provisions;NNS;O
;stocks;NNS;O
;clients;NNS;O
;selon;NN;O
;standards;NNS;O
;groupe;NN;O
197;Ratios;NNS;O
;activité;NN;O
;marge;NN;O
;opérationnelle;NN;O
;maitrise;NN;O
;coûts;NN;O
198;Indicateurs;NNS;O
;performance;NN;O
;amélioration;NN;O
;indicateurs;NNS;O
;existants;NNS;O
199;Participation;NN;O
;élaboration;NN;O
;rapport;NN;O
;gestion;NN;O
201;Participation;NN;O
;mise;NN;O
;place;NN;O
;comptabilité;NN;O
;analytique;NN;O
;accompagnement;NN;O
;cabinet;NN;O
;externe;NN;O
202;Elaboration;NN;O
;tableaux;NN;O
;bord;NN;O
;mensuels;NNS;O
;d'analyse;NN;O
;l'activité;NN;O
;reporting;NN;O
;contrôle;NN;O
;cohérence;NN;O
203;exhaustivité;NN;O
;données;NN;O
;comptables;NNS;O
;avant;NN;O
;reporting;NN;O
204;Elaboration;NN;O
;formalisation;NN;O
;équipes;NNS;O
;procédures;NNS;O
;internes;NNS;O
;...;:;O
205;Juin;NN;B-DATE
;2011;CD;I-DATE
206;Master;NN;O
;Contrôle;NN;O
;Comptabilité;NN;O
;Audit;NN;O
;Institut;NNP;O
;Hautes;NNS;O
;Etudes;NNS;O
;Mangement;NN;O
207;Casablanca;NN;O
;HEM;NN;O
;double;RB;O
;diplômation;NN;B-FORMATION
;Institut;NNP;O
;Administration;NN;O
;Entreprises;NNS;O
208;IAE;NN;O
;Lyon;NN;O
;#NOM?;NN;O
;Jean;NN;O
;Moulin-;NN;O
209;Juin;NN;B-DATE
;2010;CD;I-DATE
210;Master;NN;O
;Contrôle;NN;O
;Comptabilité;NN;O
;Audit;NN;O
;Institut;NNP;O
;Hautes;NNS;O
;Etudes;NNS;O
;Mangement;NN;O
211;Casablanca;NN;O
;HEM;NN;O
;double;RB;O
;diplômation;NN;B-FORMATION
;IAE;NN;O
;Lyon;NN;O
;#NOM?;NN;O
;Jean;NN;O
;Moulin-;NN;O
212;Juin;NN;B-DATE
;2009;CD;I-DATE
213;Licence;NN;O
;gestion;NN;O
;Institut;NNP;O
;Hautes;NNS;O
;Etudes;NNS;O
;Management;NN;O
;Casablanca;NN;O
;HEM;NN;O
214;Juin;NN;B-DATE
;2006;CD;I-DATE
215;Baccalauréat;NN;O
;série;NN;O
;sciences;NNS;O
;économiques;NNS;O
;Lycée;NN;O
;Mohammed;VBN;B-NAME
;Casablanca;NN;O
216;Techniques;NNS;O
;formalisation;NN;O
;contrôle;NN;O
;organisations;NNS;O
;calcul;NN;O
;coûts;NN;O
;analyse;NN;
;écarts;NNS;O
;...;:;O
217;Audit;NN;O
;financier;NN;O
;contrôle;NN;O
;interne;NN;O
218;Comptabilité;NN;O
;générale;NN;O
;approfondie;NN;O
219;Réalisation;NN;O
;prévisions;NNS;O
;gestion;NN;O
;budgétaire;NN;O
;indicateurs;NNS;O
;pilotage;NN;O
;tableaux;NN;O
;bord;NN;O
;balanced;VBN;O
220;scorecard;NN;O
;...;:;O
221;Techniques;NNS;O
;conception;NN;O
;mise;NN;O
;place;NN;O
;méthode;NN;O
;ABC/ABM;NN;O
;méthode;NN;O
;Target;NN;O
;Costing;VBG;O
;...;:;O
222;Les;NN;O
;systèmes;NNS;O
;information;NN;O
;...;:;O
223;Janvier-;NN;O
;Mars;NNS;B-DATE
;2011;CD;I-DATE
;Cabinet;NN;O
;expertise;NN;O
;comptable;JJ;O
;audit;NN;O
;conseil;NN;O
;ASSOCIES;NNS;O
;Casablanca;NN;O
224;Stage;NN;O
;fin;NN;O
;études;NNS;O
;sous;JJ;O
;mémoire;NN;O
;Fusions-Acquisitions;NNS;O
;Création;NN;O
;richesse;NN;O
;valeur;NN;O
225;actionnariale;NN;O
226;Missions;NNS;O
;audit;NN;O
;légal;NN;O
;commissariat;NN;O
;comptes;NNS;O
227;Missions;NNS;O
;audit;NN;O
;contractuel;NN;O
228;Projets;NNS;O
;consolidation;NN;O
229;Janvier-Mars;NNS;B-DATE
;2010;CD;I-DATE
;Cabinet;NN;O
;expertise;NN;O
;comptable;JJ;O
;audit;NN;O
;conseil;NN;O
;EURODEFIS;NN;O
;Casablanca;NN;O
230;Stage;NN;O
;application;NN;O
;sous;JJ;O
;mémoire;NN;O
;Imposition;NN;O
;E-Commerce;NN;O
;Difficultés;NN;O
;pratiques;NNS;O
;marocaines;NNS;O
231;Traitement;NN;O
;dossiers;NNS;O
;juridiques;NNS;O
;fiscaux;NN;O
232;Elaboration;NN;O
;guide;NN;O
;fiscal;JJ;O
;général;JJ;O
;besoin;NN;O
;cabinet;NN;O
233;Janvier-Février;NN;B-DATE
;2009;CD;I-DATE
;Cabinet;NN;O
;expertise;NN;O
;assistance;NN;O
;conseil;NN;O
;EXAC;NN;O
;Casablanca;NN;O
234;Stage;NN;O
;application;NN;O
235;Classement;NN;O
;pieces;NNS;O
236;Ecritures;NNS;O
;comptables;NNS;O
;journaux;NN;O
;auxiliaires;NNS;O
237;Declarations;NNS;O
;TVA;NN;O
;CNSS;NN;O
238;Paie;NN;O
;saisie;NN;O
;informatique;NN;O
239;Janvier-Mars;NNS;B-DATE
;2008;CD;I-DATE
;Stage;NN;O
;immersion;NN;O
;linguistique;NN;O
;anglais;NN;O
;Université;NN;O
;Malte;NN;O
;Malte;NN;O
240;Janvier-Février;NN;B-DATE
;2007;CD;I-DATE
;DERBY;NN;O
;stage;NN;O
;ouvrier;NN;O
;Casablanca;NN;O
;Maroc;NN;O
241;ERP;NN;O
;Oracle;NN;O
;EDWRADS;NN;O
;Mircrosoft;NNP;O
;Navision;NN;O
;Sage;NN;O
242;Environnement;NN;O
;Windows;NNS;O
;Microsoft;NNP;O
;Office;NN;O
;Internet;NN;O
243;Anglais;NN;O
;Courant;NN;O
244;Français;NN;O
;Bilingue;NN;O
246;Langue;NN;B-LANGUE
;maternelle;NN;O
247;ACTIVITES;NNS;O
;ASSOCIATIVES;NN;O
248;Vice;NNP;O
;Présidente;NN;O
;affaires;NNS;O
;relations;NNS;O
;publiques;NNS;O
;jeune;NN;O
;chambre;NN;O
;internationale;NN;O
;Casablanca;NN;O
;JCI;NN;O
;2010;CD;B-DATE
249;Présidente;NN;O
;junior;NN;O
;entreprise;NN;O
;école;NN;O
;HEM;NN;O
;2010;CD;B-DATE
251;Vice;NNP;O
;Présidente;NN;O
;communautaire;NN;O
;jeune;NN;O
;chambre;NN;O
;internationale;NN;O
;Casablanca;NN;O
;JCI;NN;O
;2009;CD;B-DATE
252;CENTRES;NN;O
;INTERETS;NN;O
253;Formatrice;NN;O
;certifiée;NN;O
;jeune;NN;O
;chambre;NN;O
;internationale;NN;O
;JCI;NN;O
254;PNL;NN;O
;Programmation;NN;O
;Neuro-;JJ;O
;Linguistique;NN;O
;Leadership;NN;O
;Intelligence;NN;O
;émotionnelle;NN;O
255;Theatre;NN;O
;francais;NN;O
;formation;NN;B-FORMATION
;école;NN;O
;francaise;NN;O
;théâtre;NN;O
256;Sport;NN;O
;LIA;NN;O
;Aquagym;NN;O
;Spinning;VBG;O
;Stretching;VBG;O
;...;:;O
257;KARIM;NNP;B-NAME
;NAIME;NN;I-NAME
258;11/12/1976;CD;B-DATE
;Célibataire;NN;O
259;GSM;NN;O
;212;NN;B-PHONE
;600111140;CD;I-PHONE
260;Email;NN;O
;k.naime76;NN;B-MAIL
;gmail.com;NN;I-MAIL
261;Ingénieur;NN;O
;Projet;NN;O
262;EXPÉRIENCES;NNS;B-EXPERIENCE
;PROFESSIONNELLES;NNS;I-EXPERIENCE
263;2014-2016;JJ;B-DATE
;Ingénieur;NN;O
;projet;NN;O
;Freelance;NN;O
;chez;NN;O
;SMARTSYS;NN;O
;AUTOMATION;NN;O
;chargé;NN;O
264;solutions;NNS;O
;réparation;NN;O
;modules;NNS;O
;cartes;NNS;O
;électronique;NN;O
;réalisation;NN;O
265;projets;NNS;O
;intitulés;NN;O
266;Solutions;NNS;O
;automatisme;NN;O
;modules;NNS;O
;Arduino;NN;O
;E/R;NN;O
;SMS;NN;O
;E/R;NN;O
;Radio;NN;O
267;Développement;NN;O
;serveur;NN;O
;impression;NN;O
;automatique;NN;O
;tickets;NNS;O
;pesage;NN;O
268;dll;NN;O
;communication;NN;O
;terminal;NN;O
;pesage;NN;O
;1400;CD;O
;langage;NN;O
269;NET;NN;O
270;Automatisation;NN;O
;système;NN;O
;démarrage;NN;O
;moulin;NN;O
;blé;NN;O
;aide;NN;O
271;VPautomate;NN;O
;programmable;JJ;O
;TSX3721;NN;O
;Télémécanique;NN;O
272;Assistance;NN;O
;mise;NN;O
;service;NN;O
;station;NN;O
;chargement;NN;O
;camions;NNS;O
;citerne;NN;O
273;Terminal;NN;O
;SALAM;NN;O
;GAZ;NN;O
;NADOR;NN;O
;nouveau;NN;O
;système;NN;O
;commande;NN;O
274;automate;NN;O
;programmable;JJ;O
;S7-300;NN;O
;Siemens;NNS;O
275;Automatisation;NN;O
;ensacheuse;NN;O
;volumétrique;NN;O
;automate;NN;O
;programmable;JJ;O
276;Zelio;NN;O
;Schneider;NN;O
277;Automatisation;NN;O
;systéme;NN;O
;assainissement;NN;O
;zone;NN;O
;industrielle;NN;O
278;Kenitra;NNP;O
;automate;NN;O
;programmable;JJ;O
;S7-1200;JJ;O
;Siemens;NNS;O
279;Développement;NN;O
;application;NN;O
;java;NN;O
;calcul;NN;O
;installations;NNS;O
280;électriques;NNS;O
;selon;NN;O
;normes;NNS;O
;Schneider;NN;O
;Electric;NNP;O
281;2012-2014;JJ;B-DATE
;Ingénieur;NN;O
;développement;NN;O
;chez;NN;O
;Radar-Concept;JJ;O
282;Vente;NN;O
;réparation;NN;O
;installation;NN;O
;matériel;NN;O
;électronique;NN;O
;maritime;NN;O
;Gyrocompas;NN;O
283;Sondeurs;NNS;O
;Loch;NN;O
;Sonar;NN;O
;Radar;NN;O
;navigation;NN;O
;matériels;NNS;O
;communication;NN;O
284;radio;NN;O
;...;:;O
285;Réalisation;NN;O
;projet;NN;O
;intitulé;NN;O
;Passerelle;NNP;O
;Intégré;NN;O
;programmé;NN;O
;JAVA;NN;O
286;liaison;NN;O
;Caméra;NN;O
;GPS;NN;O
;Sondeur;NN;O
;Loch;NN;O
;Gyrocompas;NN;O
;module;NN;O
287;Arduino;NN;O
;Ethernet;NN;O
288;1998-2008;JJ;B-DATE
;Responsable;JJ;O
;technique;NN;O
;Détection;NN;O
